top - 21:23:06 up  6:02,  1 user,  load average: 1.33, 0.68, 0.25
任务: 289 total,   1 running, 288 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.9 us, 15.8 sy,  0.0 ni, 55.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3877.9 total,    635.1 free,   1734.2 used,   1508.6 buff/cache
MiB Swap:    923.3 total,    923.3 free,      0.0 used.   1824.3 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
   1781 chen      20   0 4335440 426636 158032 S  29.4  10.7   4:42.57 gnome-s+
   2501 chen      20   0 1038432  78948  55544 S  17.6   2.0   0:08.84 nautilus
   4834 chen      20   0   20664   3952   3236 R  11.8   0.1   0:00.04 top
   1560 chen      20   0  318780 125476  73756 S   5.9   3.2   1:05.89 Xorg
      1 root      20   0  102636  11604   8488 S   0.0   0.3   0:12.27 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.05 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.17 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0   0:01.69 rcu_sch+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migrati+
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:01.75 migrati+
     22 root      20   0       0      0      0 S   0.0   0.0   0:01.97 ksoftir+
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.02 khungta+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     32 root      20   0       0      0      0 S   0.0   0.0   0:01.03 kcompac+
     33 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     34 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.89 kworker+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     97 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     98 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
    100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
    101 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
    102 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
    103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
    104 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
    105 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
    106 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
    107 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
    108 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
    109 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
    110 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
    111 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
    112 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
    113 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
    114 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
    115 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
    116 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
    117 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
    118 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
    119 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
    120 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
    121 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
    122 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
    123 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
    124 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
    125 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
    126 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
    127 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
    128 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    131 root      20   0       0      0      0 S   0.0   0.0   0:00.03 scsi_eh+
    132 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    133 root      20   0       0      0      0 S   0.0   0.0   0:00.06 scsi_eh+
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    136 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    137 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    138 root       0 -20       0      0      0 I   0.0   0.0   0:01.26 kworker+
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    151 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    155 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mpt_pol+
    205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mpt/0
    207 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    208 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    209 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
    210 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    211 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    213 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    214 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    215 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    216 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    217 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    219 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    220 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    221 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    223 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    224 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    225 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    227 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    229 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    230 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    231 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    232 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    233 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    234 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    235 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
